MONTH_YEAR,TOTAL_REVENUE,ORDER_COUNT,MONTH_YEAR_STR,GROWTH_RATE,MONTH_NAME
2003-01,107885.96,39,2003-01,,January
2003-02,120036.8,41,2003-02,11.262670323367363,February
2003-03,144096.23,50,2003-03,20.04337836396839,March
2003-04,169421.03,58,2003-04,17.574921980956738,April
2003-05,163654.12,58,2003-05,-3.4038926572456774,May
2003-06,139552.84,46,2003-06,-14.726961960994323,June
2003-07,149869.73,50,2003-07,7.392819809328155,July
2003-08,166026.32,58,2003-08,10.780422437539583,August
2003-09,211045.86,76,2003-09,27.115905478119352,September
2003-10,466240.57,158,2003-10,120.91907891488609,October
2003-11,850203.27,296,2003-11,82.35291493402215,November
2003-12,210117.21,70,2003-12,-75.28623831333888,December
2004-01,268015.87,91,2004-01,27.555410620576957,January
2004-02,258389.05,86,2004-02,-3.591884316402605,February
2004-03,166958.56,56,2004-03,-35.38481603612846,March
2004-04,172935.8,64,2004-04,3.580074001596567,April
2004-05,220815.14,74,2004-05,27.686193373494696,May
2004-06,245190.75,85,2004-06,11.038921515979382,June
2004-07,271103.61,91,2004-07,10.568449258383517,July
2004-08,386106.59,133,2004-08,42.42030565362078,August
2004-09,263854.26,95,2004-09,-31.66284470824494,September
2004-10,452796.13,159,2004-10,71.60842125497612,October
2004-11,894479.18,301,2004-11,97.54567690320147,November
2004-12,313055.93,110,2004-12,-65.0013173028801,December
2005-01,283680.46,99,2005-01,-9.383457454391609,January
2005-02,289902.3,97,2005-02,2.1932564548153843,February
2005-03,315131.94,106,2005-03,8.702807808009805,March
2005-04,217977.63,56,2005-04,-30.829724844774542,April
2005-05,372343.65,120,2005-05,70.8173678188904,May
